,location_id,location,latitude,longitude
0,236024,QUEBEC,45.44866,-73.468631
1,477,QUEBEC,46.77417,-71.36972
2,741,NOVA SCOTIA,45.07254,-64.84025
3,774,NOVA SCOTIA,44.7198,-63.48076
4,776,NOVA SCOTIA,45.681744,-62.696575
5,782,NOVA SCOTIA,45.067284,-64.477425
6,1381,MANITOBA,49.9489,-97.3964
7,287,ALBERTA,54.216473,-111.50264
8,270714,N/A,52.96936,-122.4934
9,277971,N/A,53.549509,-113.48593000000001
10,277972,N/A,51.268227,-114.037677
11,277975,N/A,53.554691,-113.144105
12,277976,N/A,55.62140999999999,-111.17269000000002
13,277977,N/A,55.9033,-110.7499
14,277978,ALBERTA,53.6331,-114.4197
15,277980,ALBERTA,55.1767,-118.8064
16,277981,N/A,56.448889,-111.038056
17,277982,N/A,53.53209,-113.32098
18,277983,N/A,55.632331,-111.078872
19,277984,ALBERTA,53.2536,-117.3153
20,277985,ALBERTA,52.24095,-113.765439
21,277986,ALBERTA,53.3017,-114.2211
22,277987,N/A,56.9967,-111.5926
23,278003,N/A,53.626972,-113.61191699999999
24,278004,N/A,53.827241,-113.327174
25,278129,NEW BRUNSWICK,47.02567,-65.52049
26,295419,N/A,50.007794,-114.93342
27,295420,N/A,49.732786,-114.88766000000001
28,301607,BRITISH COLUMBIA,49.238008,-121.762264
29,347311,QUEBEC,45.8713,-72.50318
30,351951,N/A,45.464611,-73.582583
31,921002,N/A,55.83473,-108.40377
32,921011,N/A,49.368,-123.277
33,921017,N/A,49.29999999999999,-123.02
34,360,ALBERTA,56.7522,-111.4761
35,390,ALBERTA,52.2989,-113.7942
36,394,ALBERTA,53.5936,-116.39280000000001
37,429,PRINCE EDWARD ISLAND,46.3864,-62.5828
38,439,QUEBEC,46.035,-74.4819
39,447,QUEBEC,45.8156,-70.8597
40,453,QUEBEC,45.5231,-73.4939
41,468,QUEBEC,45.3733,-71.2514
42,470,QUEBEC,45.4431,-73.4686
43,476,QUEBEC,48.2344,-78.9833
44,481,QUEBEC,45.6222,-76.0178
45,482,QUEBEC,46.0419,-72.66
